"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"low balance",24,"existing paid","used car",2760,"no known savings","7 or more years",4,"male single","none",4,"no known property",36,"bank","for free",1,"skilled",1,"yes","yes","good"
"low balance",18,"delayed previously","furniture/equipment",4297,"low savings","7 or more years",4,"male div/sep","none",3,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",9,"critical/order existing credit","education",936,"low savings","7 or more years",4,"male single","none",2,"car",52,"stores","own",2,"skilled",1,"yes","yes","good"
"overdrawn",12,"existing paid","new car",1168,"low savings","1-3 years",4,"male mar/wid","none",3,"real estate",27,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",27,"delayed previously","business",5117,"low savings","4-6 years",3,"male single","none",4,"car",26,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","retraining",902,"low savings","4-6 years",4,"male mar/wid","none",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",12,"critical/order existing credit","new car",1495,"low savings","7 or more years",4,"male single","none",1,"real estate",38,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1935,"low savings","7 or more years",4,"male single","none",4,"real estate",43,"stores","own",3,"skilled",1,"yes","yes","good"
"low balance",12,"critical/order existing credit","domestic appliance",1424,"low savings","4-6 years",4,"male single","none",3,"life insurance",26,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",24,"existing paid","business",6568,"low savings","1-3 years",2,"male mar/wid","none",2,"car",21,"unknown","own",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","used car",1413,"high savings","4-6 years",3,"male single","none",2,"life insurance",55,"stores","own",1,"skilled",1,"none","no","good"
"no checking",9,"critical/order existing credit","radio/tv",3074,"no known savings","1-3 years",1,"male single","none",2,"real estate",33,"stores","own",2,"skilled",2,"none","yes","good"
"no checking",36,"existing paid","radio/tv",3835,"no known savings","7 or more years",2,"female div/dep/mar","none",4,"real estate",45,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",27,"no credits/all paid","business",5293,"low savings","unemployed",2,"male single","none",4,"life insurance",50,"unknown","own",2,"skilled",1,"yes","yes","bad"
"no checking",36,"critical/order existing credit","radio/tv",3342,"no known savings","7 or more years",4,"male single","none",2,"car",51,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",6,"critical/order existing credit","retraining",932,"no known savings","4-6 years",1,"female div/dep/mar","none",3,"life insurance",39,"stores","own",2,"unskilled resident",1,"none","yes","good"
"overdrawn",18,"no credits/all paid","business",3104,"low savings","4-6 years",3,"male single","none",1,"life insurance",31,"bank","own",1,"skilled",1,"yes","yes","good"
"adequate balance",36,"existing paid","radio/tv",3913,"low savings","1-3 years",2,"male single","none",2,"real estate",23,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",24,"existing paid","furniture/equipment",3021,"low savings","1-3 years",2,"male div/sep","none",2,"real estate",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"low balance",12,"existing paid","radio/tv",625,"low savings","less than 1 year",4,"male mar/wid","guarantor",1,"real estate",26,"bank","own",1,"unskilled resident",1,"none","yes","good"
"overdrawn",12,"existing paid","education",1200,"no known savings","1-3 years",4,"female div/dep/mar","none",4,"life insurance",23,"bank","rent",1,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",707,"low savings","1-3 years",4,"male single","none",2,"real estate",30,"bank","own",2,"skilled",1,"none","yes","good"
"no checking",24,"delayed previously","business",2978,"no known savings","1-3 years",4,"male single","none",4,"real estate",32,"stores","own",2,"skilled",2,"yes","yes","good"
"no checking",15,"existing paid","used car",4657,"low savings","1-3 years",3,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",36,"no credits/all paid","repairs",2613,"low savings","1-3 years",4,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",7865,"low savings","7 or more years",4,"male single","none",4,"no known property",53,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",9,"existing paid","radio/tv",1478,"low savings","4-6 years",4,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24,"existing paid","furniture/equipment",3149,"low savings","less than 1 year",4,"male single","none",1,"no known property",22,"bank","for free",1,"skilled",1,"none","yes","good"
"adequate balance",36,"existing paid","radio/tv",4210,"low savings","1-3 years",4,"male single","none",2,"car",26,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",9,"existing paid","new car",2507,"low savings","7 or more years",2,"male single","none",4,"no known property",51,"stores","for free",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",2141,"low savings","4-6 years",3,"male single","none",1,"no known property",35,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","radio/tv",866,"low savings","1-3 years",4,"male mar/wid","guarantor",2,"real estate",25,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",4,"critical/order existing credit","radio/tv",1544,"low savings","4-6 years",2,"male single","none",1,"real estate",42,"stores","own",3,"unskilled resident",2,"none","yes","good"
"overdrawn",24,"existing paid","radio/tv",1823,"low savings","unemployed",4,"male single","none",2,"car",30,"unknown","own",1,"high qualif/self emp/mgmt",2,"none","yes","bad"
"no checking",12,"critical/order existing credit","radio/tv",1291,"low savings","1-3 years",4,"female div/dep/mar","none",2,"life insurance",35,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",30,"existing paid","radio/tv",2522,"low savings","7 or more years",1,"male single","guarantor",3,"life insurance",39,"stores","own",1,"skilled",2,"none","yes","good"
"overdrawn",24,"existing paid","new car",915,"no known savings","7 or more years",4,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"none","yes","bad"
"no checking",6,"existing paid","radio/tv",1595,"low savings","4-6 years",3,"male single","none",2,"life insurance",51,"stores","own",1,"skilled",2,"none","yes","good"
"overdrawn",48,"no credits/all paid","used car",4605,"low savings","7 or more years",3,"male single","none",4,"no known property",24,"stores","for free",2,"skilled",2,"none","yes","bad"
"no checking",12,"critical/order existing credit","business",1185,"low savings","1-3 years",3,"female div/dep/mar","none",2,"real estate",27,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",12,"all paid","retraining",3447,"low savings","1-3 years",4,"female div/dep/mar","none",3,"real estate",35,"stores","own",1,"unskilled resident",2,"none","yes","good"
"no checking",24,"existing paid","business",1258,"low savings","4-6 years",4,"male single","none",1,"real estate",25,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",717,"low savings","7 or more years",4,"male single","none",4,"real estate",52,"stores","own",3,"skilled",1,"none","yes","good"
"no checking",6,"no credits/all paid","new car",1204,"low savings","1-3 years",4,"male single","none",1,"no known property",35,"bank","rent",1,"skilled",1,"none","no","good"
"adequate balance",24,"existing paid","furniture/equipment",1925,"low savings","1-3 years",2,"male single","none",2,"real estate",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","radio/tv",433,"low savings","unemployed",3,"female div/dep/mar","co applicant",4,"real estate",22,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",6,"critical/order existing credit","new car",666,"high savings","4-6 years",3,"female div/dep/mar","none",4,"real estate",39,"stores","own",2,"unskilled resident",1,"yes","yes","good"
"adequate balance",12,"existing paid","furniture/equipment",2251,"low savings","1-3 years",1,"female div/dep/mar","none",2,"car",46,"stores","own",1,"unskilled resident",1,"none","yes","good"
"low balance",30,"existing paid","new car",2150,"low savings","1-3 years",4,"female div/dep/mar","guarantor",2,"no known property",24,"bank","own",1,"skilled",1,"none","yes","bad"
"no checking",24,"delayed previously","furniture/equipment",4151,"low savings","1-3 years",2,"male single","none",3,"life insurance",35,"stores","own",2,"skilled",1,"none","yes","good"
"low balance",9,"existing paid","furniture/equipment",2030,"no known savings","4-6 years",2,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2684,"low savings","1-3 years",4,"male single","none",2,"real estate",35,"stores","own",2,"unskilled resident",1,"none","yes","good"
"overdrawn",12,"all paid","radio/tv",2149,"low savings","1-3 years",4,"male div/sep","none",1,"no known property",29,"stores","for free",1,"skilled",1,"none","yes","bad"
"no checking",15,"existing paid","used car",3812,"low savings","less than 1 year",1,"female div/dep/mar","none",4,"car",23,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",11,"critical/order existing credit","radio/tv",1154,"low savings","unemployed",4,"female div/dep/mar","none",4,"real estate",57,"stores","own",3,"unskilled resident",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1657,"low savings","1-3 years",2,"male single","none",2,"real estate",27,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",24,"existing paid","radio/tv",1603,"low savings","7 or more years",4,"female div/dep/mar","none",4,"car",55,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",18,"critical/order existing credit","new car",5302,"low savings","7 or more years",2,"male single","none",4,"no known property",36,"stores","for free",3,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","education",2748,"low savings","7 or more years",2,"female div/dep/mar","none",4,"no known property",57,"bank","for free",3,"unskilled resident",1,"none","yes","good"
"no checking",10,"critical/order existing credit","new car",1231,"low savings","7 or more years",3,"male single","none",4,"real estate",32,"stores","own",2,"unskilled resident",2,"none","no","good"
"low balance",15,"existing paid","radio/tv",802,"low savings","7 or more years",4,"male single","none",3,"car",37,"stores","own",1,"skilled",2,"none","yes","bad"
"no checking",36,"critical/order existing credit","business",6304,"no known savings","7 or more years",4,"male single","none",4,"real estate",36,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1533,"low savings","less than 1 year",4,"female div/dep/mar","none",3,"car",38,"unknown","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",999,"no known savings","7 or more years",4,"male single","none",2,"car",25,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","new car",2662,"no known savings","4-6 years",4,"male single","none",3,"life insurance",32,"stores","own",1,"skilled",1,"none","no","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1402,"low savings","4-6 years",3,"female div/dep/mar","none",4,"car",37,"stores","rent",1,"skilled",1,"yes","yes","good"
"low balance",48,"existing paid","radio/tv",3060,"low savings","4-6 years",4,"male single","none",4,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",9,"existing paid","radio/tv",2697,"low savings","1-3 years",1,"male single","none",2,"real estate",32,"stores","own",1,"skilled",2,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",2404,"low savings","1-3 years",2,"female div/dep/mar","none",2,"car",26,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1262,"no known savings","7 or more years",2,"male div/sep","none",4,"life insurance",49,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"no checking",6,"existing paid","furniture/equipment",4611,"low savings","less than 1 year",1,"female div/dep/mar","none",4,"life insurance",32,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",24,"existing paid","radio/tv",1901,"low savings","1-3 years",4,"male single","none",4,"car",29,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",15,"critical/order existing credit","used car",3368,"high savings","7 or more years",3,"male single","none",4,"no known property",23,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","furniture/equipment",1574,"low savings","1-3 years",4,"male single","none",2,"real estate",50,"stores","own",1,"skilled",1,"none","yes","good"
